match_id,timestamp_min,kills_diff,deaths_diff,assists_diff,gold_diff,cs_diff,level_diff,towers_diff,inhibs_diff,dragons_diff,heralds_diff,barons_diff,blue_win
NA1_5397471108,10,-4,4,-1,-1084,-2,-0.6,0,0,0,0,0,0
NA1_5397471108,20,0,0,7,556,4,0.0,0,0,0,-1,0,0
NA1_5397471108,30,4,-4,17,1978,49,-0.4,2,0,0,-1,-1,0
NA1_5397426510,10,3,-3,1,1133,10,0.2,0,0,1,0,0,1
NA1_5397426510,20,-4,4,-10,-2410,-8,-0.4,-1,0,1,-1,0,1
NA1_5397426510,30,1,-1,-3,5185,66,-0.2,3,0,1,-1,-1,1
NA1_5397398053,10,2,-2,3,1120,-3,0.0,0,0,0,0,0,0
NA1_5397398053,20,-5,5,-2,-4791,-35,-1.0,-2,0,1,0,0,0
NA1_5397361922,10,1,-1,4,1662,16,0.2,0,0,0,0,0,1
NA1_5397361922,20,1,-1,2,2084,68,0.0,1,0,-1,-1,0,1
NA1_5397332856,10,-2,2,-4,-1446,-5,-0.4,0,0,0,0,0,0
NA1_5397297093,10,-1,1,5,-21,0,-0.4,0,0,-1,0,0,1
NA1_5397297093,20,-1,1,-3,1628,40,0.0,3,0,0,1,0,1
NA1_5397270503,10,7,-7,4,2832,13,0.6,0,0,0,0,0,1
NA1_5397270503,20,9,-9,3,2701,21,0.2,3,0,-2,1,0,1
NA1_5397228061,10,3,-3,6,1654,42,0.4,0,0,1,0,0,1
NA1_5397209599,10,-2,2,1,-1649,-54,-0.8,0,0,0,0,0,0
NA1_5394610325,10,1,-1,4,1623,34,0.0,0,0,1,0,0,1
NA1_5394610325,20,8,-8,13,6708,40,0.4,4,0,3,1,0,1
NA1_5394581992,10,1,-1,0,627,-9,-0.2,0,0,0,0,0,1
NA1_5394581992,20,12,-12,24,6265,1,0.4,2,0,0,0,0,1
NA1_5394549700,10,4,-4,8,2878,26,0.2,0,0,0,0,0,1
NA1_5394549700,20,6,-6,16,3702,6,0.4,2,0,2,0,0,1
NA1_5394520047,10,-5,5,-4,-2085,-14,-0.4,0,0,0,0,0,0
NA1_5394520047,20,-6,6,-5,-4178,-94,-0.8,-2,0,-2,1,0,0
NA1_5394520047,30,-13,13,-17,-5620,-149,-1.8,1,0,-4,1,-1,0
NA1_5394492793,10,2,-2,1,1142,21,0.2,0,0,-1,0,0,0
NA1_5394492793,20,-5,5,-18,-1441,-6,-0.6,1,0,-1,1,0,0
NA1_5394477777,10,-5,5,-7,-3659,-57,-0.6,0,0,0,0,0,0
